primitive,keyword,usage_count,example_chars
㕚,,0,
㚒,,1,陝
乂,sheaf,16,㸚 义 匁 図 學
侖,library,5,倫 淪 綸 論 輪 nb library in RTH, in RSH 仑 is "lifeguard"
兀,towering,6,元 光 堯 尧 尭, not sure where you got towering, I don't think heisig defines this separately, towering = 1 + human legs works for me
冋,,5,向 喬 尚 炯 高, no breakdown hood + mouth, note heisig calls the top of gas 亠口 as tall, but 亠口冖 as tiara
匃,,1,曷, no breakdown, just [bound up + fishhook]
卄,,4,冊 带 廿 曲, not broken down separately
叀,,0,
啟,,0,
奚,,2,溪 雞, no breakdown
帚,,4,婦 帰 掃 歸
廾,two hands,9,升 卉 开 弁 异
彳,going,39,屜 彷 役 彻 彼
戠,kazoo,4,幟 織 職 識
敖,,2,傲 熬
昜,sunshine,8,場 揚 暢 楊 湯
昱,,0,
朩,wooden pole,2,余 茶
氺,water,8,snowflake, 函 屬 录 様 求, only in the 5 stroke version
猋,,0, not broken down
臧,surfboard,2,藏 贓, RSH doesn't bother breaking this down, only in RTH.
萑,,1,舊, not broken down.
蜀,,5,屬 濁 燭 獨 觸
